danrer_gene_id	danrer_transcript_id	number_of_exons	astmex_gene_id	danrer_gene_id	gadmor_gene_id	gasacu_gene_id	orenil_gene_id	orylat_gene_id	poefor_gene_id	takrub_gene_id
ENSDARG00000037017	ENSDART00000053804	5	ENSAMXG00000013206	ENSDARG00000037017	ENSGMOG00000000623	ENSGACG00000007229	ENSONIG00000002362	ENSORLG00000005259	ENSPFOG00000001998	ENSTRUG00000011071	
ENSDARG00000037030	ENSDART00000002812	7	ENSAMXG00000013161	ENSDARG00000037030	ENSGMOG00000006215	ENSGACG00000007115	ENSONIG00000002330		ENSPFOG00000004397	ENSTRUG00000012117	
ENSDARG00000037060	ENSDART00000053863	5	ENSAMXG00000013022	ENSDARG00000037060	ENSGMOG00000004488	ENSGACG00000009038	ENSONIG00000012128	ENSORLG00000007583	ENSPFOG00000007032	ENSTRUG00000012286	
ENSDARG00000037935	ENSDART00000124943	5	ENSAMXG00000010961	ENSDARG00000037935	ENSGMOG00000003317	ENSGACG00000005952	ENSONIG00000006524	ENSORLG00000016761	ENSPFOG00000002924	ENSTRUG00000014327	
ENSDARG00000038207	ENSDART00000055710	5	ENSAMXG00000003933	ENSDARG00000038207	ENSGMOG00000013881	ENSGACG00000003426	ENSONIG00000000298	ENSORLG00000010810	ENSPFOG00000006130		
ENSDARG00000038882	ENSDART00000056765	14	ENSAMXG00000013950	ENSDARG00000038882	ENSGMOG00000009740	ENSGACG00000010151	ENSONIG00000003617	ENSORLG00000006114	ENSPFOG00000012666	ENSTRUG00000006919	
ENSDARG00000039196	ENSDART00000057268	7	ENSAMXG00000004547	ENSDARG00000039196	ENSGMOG00000011410	ENSGACG00000017323	ENSONIG00000009411	ENSORLG00000017649	ENSPFOG00000010800	ENSTRUG00000013091	
ENSDARG00000040245	ENSDART00000058876	6	ENSAMXG00000005152	ENSDARG00000040245	ENSGMOG00000000146	ENSGACG00000014804	ENSONIG00000015196	ENSORLG00000006133	ENSPFOG00000006616	ENSTRUG00000007387	
ENSDARG00000040571	ENSDART00000059376	11	ENSAMXG00000001437	ENSDARG00000040571	ENSGMOG00000011714	ENSGACG00000008993	ENSONIG00000006254	ENSORLG00000007707	ENSPFOG00000015706	ENSTRUG00000015439	
ENSDARG00000041107	ENSDART00000060243	11	ENSAMXG00000000420	ENSDARG00000041107	ENSGMOG00000002861	ENSGACG00000009039	ENSONIG00000003911	ENSORLG00000019555	ENSPFOG00000014478	ENSTRUG00000017143	
ENSDARG00000041481	ENSDART00000060809	7	ENSAMXG00000024616	ENSDARG00000041481	ENSGMOG00000007310	ENSGACG00000013142	ENSONIG00000008632	ENSORLG00000016239	ENSPFOG00000010191	ENSTRUG00000012580	
ENSDARG00000041708	ENSDART00000131811	5	ENSAMXG00000004752	ENSDARG00000041708	ENSGMOG00000009220	ENSGACG00000019910	ENSONIG00000006853	ENSORLG00000020896	ENSPFOG00000018306	ENSTRUG00000012026	
ENSDARG00000041870	ENSDART00000061334	6	ENSAMXG00000012539	ENSDARG00000041870	ENSGMOG00000015222	ENSGACG00000006020	ENSONIG00000015776	ENSORLG00000008648	ENSPFOG00000002372	ENSTRUG00000012624	
ENSDARG00000041887	ENSDART00000061378	6	ENSAMXG00000005382	ENSDARG00000041887	ENSGMOG00000016024	ENSGACG00000011893	ENSONIG00000010848	ENSORLG00000013050	ENSPFOG00000016768	ENSTRUG00000006118	
ENSDARG00000041895	ENSDART00000061365	9	ENSAMXG00000018012	ENSDARG00000041895	ENSGMOG00000015332	ENSGACG00000006047	ENSONIG00000015784	ENSORLG00000008703	ENSPFOG00000001852	ENSTRUG00000012246	
ENSDARG00000042057	ENSDART00000139648	5	ENSAMXG00000009602	ENSDARG00000042057	ENSGMOG00000009535	ENSGACG00000005050	ENSONIG00000007823	ENSORLG00000020110	ENSPFOG00000003872	ENSTRUG00000002396	
ENSDARG00000042087	ENSDART00000061679	5	ENSAMXG00000005195	ENSDARG00000042087	ENSGMOG00000007604	ENSGACG00000010250	ENSONIG00000001756	ENSORLG00000005421	ENSPFOG00000013730	ENSTRUG00000013929	
ENSDARG00000042518	ENSDART00000062343	6	ENSAMXG00000001029	ENSDARG00000042518	ENSGMOG00000004450	ENSGACG00000013538	ENSONIG00000010383	ENSORLG00000016085	ENSPFOG00000008233	ENSTRUG00000008330	
ENSDARG00000042530	ENSDART00000062216	18	ENSAMXG00000001041	ENSDARG00000042530	ENSGMOG00000004724	ENSGACG00000013655	ENSONIG00000010336	ENSORLG00000015967	ENSPFOG00000010640	ENSTRUG00000004511	
ENSDARG00000042728	ENSDART00000062704	5	ENSAMXG00000010868	ENSDARG00000042728	ENSGMOG00000005229	ENSGACG00000019658	ENSONIG00000013448	ENSORLG00000005124	ENSPFOG00000000075	ENSTRUG00000002447	
ENSDARG00000043019	ENSDART00000063154	8	ENSAMXG00000005542	ENSDARG00000043019	ENSGMOG00000018756	ENSGACG00000014307	ENSONIG00000002936	ENSORLG00000000634	ENSPFOG00000017153	ENSTRUG00000015553	
ENSDARG00000043077	ENSDART00000131625	7	ENSAMXG00000005024	ENSDARG00000043077	ENSGMOG00000003352	ENSGACG00000004013	ENSONIG00000000457	ENSORLG00000019759	ENSPFOG00000003415	ENSTRUG00000010262	
ENSDARG00000043247	ENSDART00000127329	6	ENSAMXG00000009403	ENSDARG00000043247	ENSGMOG00000015640	ENSGACG00000015188	ENSONIG00000003781	ENSORLG00000002865	ENSPFOG00000008683	ENSTRUG00000012073	
ENSDARG00000043323	ENSDART00000143286	5	ENSAMXG00000002610	ENSDARG00000043323	ENSGMOG00000010278	ENSGACG00000014237	ENSONIG00000003022	ENSORLG00000000492	ENSPFOG00000017706	ENSTRUG00000014995	
ENSDARG00000044812	ENSDART00000065864	6	ENSAMXG00000011174	ENSDARG00000044812	ENSGMOG00000014188	ENSGACG00000017137	ENSONIG00000005886	ENSORLG00000001038	ENSPFOG00000019326	ENSTRUG00000016281	
ENSDARG00000045398	ENSDART00000066759	5	ENSAMXG00000020613	ENSDARG00000045398	ENSGMOG00000019435	ENSGACG00000002662	ENSONIG00000014349	ENSORLG00000007727	ENSPFOG00000001248	ENSTRUG00000009518	
ENSDARG00000045517	ENSDART00000066934	6	ENSAMXG00000005899	ENSDARG00000045517	ENSGMOG00000001052	ENSGACG00000020102	ENSONIG00000017909	ENSORLG00000016940	ENSPFOG00000013640	ENSTRUG00000011222	
ENSDARG00000045626	ENSDART00000067095	7	ENSAMXG00000004017	ENSDARG00000045626	ENSGMOG00000016185	ENSGACG00000011167	ENSONIG00000013168	ENSORLG00000004422	ENSPFOG00000024665	ENSTRUG00000005563	
ENSDARG00000045900	ENSDART00000103601	6	ENSAMXG00000001121	ENSDARG00000045900	ENSGMOG00000003475	ENSGACG00000005542	ENSONIG00000001060	ENSORLG00000010469	ENSPFOG00000001487	ENSTRUG00000018079	
ENSDARG00000051889	ENSDART00000073597	5	ENSAMXG00000007049	ENSDARG00000051889	ENSGMOG00000016135	ENSGACG00000015466	ENSONIG00000003006	ENSORLG00000005804	ENSPFOG00000022185	ENSTRUG00000017261	
ENSDARG00000052553	ENSDART00000074426	5	ENSAMXG00000007489	ENSDARG00000052553	ENSGMOG00000003307	ENSGACG00000020846	ENSONIG00000013282	ENSORLG00000015208	ENSPFOG00000002118	ENSTRUG00000010827	
ENSDARG00000052866	ENSDART00000074777	19	ENSAMXG00000010292	ENSDARG00000052866	ENSGMOG00000012719	ENSGACG00000018347	ENSONIG00000018930	ENSORLG00000014651	ENSPFOG00000013458	ENSTRUG00000005174	
ENSDARG00000053087	ENSDART00000075068	5	ENSAMXG00000014200	ENSDARG00000053087	ENSGMOG00000001673	ENSGACG00000012633	ENSONIG00000017961	ENSORLG00000018951	ENSPFOG00000017784	ENSTRUG00000002976	
ENSDARG00000053113	ENSDART00000026135	6	ENSAMXG00000002159	ENSDARG00000053113	ENSGMOG00000000591	ENSGACG00000015184	ENSONIG00000003287	ENSORLG00000004197	ENSPFOG00000016013	ENSTRUG00000017160	
ENSDARG00000053200	ENSDART00000075176	8	ENSAMXG00000006220	ENSDARG00000053200	ENSGMOG00000003012	ENSGACG00000017315	ENSONIG00000015695	ENSORLG00000018364	ENSPFOG00000017504	ENSTRUG00000009567	
ENSDARG00000053474	ENSDART00000009794	5	ENSAMXG00000011664	ENSDARG00000053474	ENSGMOG00000009304	ENSGACG00000015258	ENSONIG00000013591		ENSPFOG00000013032	ENSTRUG00000006644	
ENSDARG00000054154	ENSDART00000053761	9	ENSAMXG00000011236	ENSDARG00000054154	ENSGMOG00000000718	ENSGACG00000015334	ENSONIG00000007227	ENSORLG00000014655	ENSPFOG00000015180	ENSTRUG00000008028	
ENSDARG00000054213	ENSDART00000076340	16	ENSAMXG00000008101	ENSDARG00000054213	ENSGMOG00000006063	ENSGACG00000012853	ENSONIG00000001899	ENSORLG00000010702	ENSPFOG00000018359	ENSTRUG00000011055	
ENSDARG00000055305	ENSDART00000077627	8	ENSAMXG00000004705	ENSDARG00000055305	ENSGMOG00000005386	ENSGACG00000003269	ENSONIG00000010322	ENSORLG00000013965	ENSPFOG00000024271	ENSTRUG00000017885	
ENSDARG00000055569	ENSDART00000133895	5	ENSAMXG00000013936	ENSDARG00000055569	ENSGMOG00000019394	ENSGACG00000006133	ENSONIG00000016274	ENSORLG00000004457	ENSPFOG00000005691	ENSTRUG00000011508	
ENSDARG00000055885	ENSDART00000078283	7	ENSAMXG00000020864	ENSDARG00000055885	ENSGMOG00000014603	ENSGACG00000009064	ENSONIG00000006044	ENSORLG00000008812	ENSPFOG00000017455	ENSTRUG00000010787	
ENSDARG00000056037	ENSDART00000078449	6	ENSAMXG00000017268	ENSDARG00000056037	ENSGMOG00000003642	ENSGACG00000011406	ENSONIG00000016533	ENSORLG00000016280	ENSPFOG00000000255	ENSTRUG00000009523	
ENSDARG00000056160	ENSDART00000078596	5	ENSAMXG00000002207	ENSDARG00000056160	ENSGMOG00000006801	ENSGACG00000008860	ENSONIG00000013762	ENSORLG00000020874	ENSPFOG00000000054	ENSTRUG00000015595	
ENSDARG00000056318	ENSDART00000078796	5	ENSAMXG00000002810	ENSDARG00000056318	ENSGMOG00000011485	ENSGACG00000011630	ENSONIG00000016529	ENSORLG00000016524	ENSPFOG00000013632	ENSTRUG00000000470	
ENSDARG00000056530	ENSDART00000079046	16	ENSAMXG00000017810	ENSDARG00000056530	ENSGMOG00000014969	ENSGACG00000011570	ENSONIG00000002195	ENSORLG00000016794	ENSPFOG00000018563	ENSTRUG00000009693	
ENSDARG00000056557	ENSDART00000079042	6	ENSAMXG00000014063	ENSDARG00000056557	ENSGMOG00000001285	ENSGACG00000015643	ENSONIG00000006126	ENSORLG00000006792	ENSPFOG00000007235	ENSTRUG00000017376	
ENSDARG00000056648	ENSDART00000079165	5	ENSAMXG00000004653	ENSDARG00000056648	ENSGMOG00000008933	ENSGACG00000015605	ENSONIG00000006180	ENSORLG00000006545	ENSPFOG00000004783	ENSTRUG00000017294	
ENSDARG00000056781	ENSDART00000079322	6	ENSAMXG00000011770	ENSDARG00000056781	ENSGMOG00000004470	ENSGACG00000000704	ENSONIG00000000576	ENSORLG00000010593	ENSPFOG00000022872	ENSTRUG00000004421	
ENSDARG00000056932	ENSDART00000079506	7	ENSAMXG00000018840	ENSDARG00000056932	ENSGMOG00000004834	ENSGACG00000009599	ENSONIG00000013652	ENSORLG00000008318	ENSPFOG00000016485	ENSTRUG00000016348	
ENSDARG00000057249	ENSDART00000079863	5	ENSAMXG00000005242	ENSDARG00000057249	ENSGMOG00000013209	ENSGACG00000017546	ENSONIG00000017687	ENSORLG00000005930	ENSPFOG00000009308	ENSTRUG00000004417	
ENSDARG00000057660	ENSDART00000080351	5	ENSAMXG00000002141	ENSDARG00000057660	ENSGMOG00000001839	ENSGACG00000018935	ENSONIG00000016747	ENSORLG00000010748	ENSPFOG00000012729	ENSTRUG00000008277	
ENSDARG00000057729	ENSDART00000147483	5	ENSAMXG00000019501	ENSDARG00000057729	ENSGMOG00000003925	ENSGACG00000010474	ENSONIG00000012839	ENSORLG00000011883	ENSPFOG00000011583	ENSTRUG00000008107	
ENSDARG00000057738	ENSDART00000080465	5	ENSAMXG00000002088	ENSDARG00000057738	ENSGMOG00000017884	ENSGACG00000003897	ENSONIG00000013166	ENSORLG00000000987	ENSPFOG00000001954	ENSTRUG00000000350	
ENSDARG00000057986	ENSDART00000080751	5	ENSAMXG00000010895	ENSDARG00000057986	ENSGMOG00000012090	ENSGACG00000002293	ENSONIG00000013838	ENSORLG00000007855	ENSPFOG00000001945	ENSTRUG00000007434	
ENSDARG00000057997	ENSDART00000080770	6	ENSAMXG00000009172	ENSDARG00000057997	ENSGMOG00000019270	ENSGACG00000009434	ENSONIG00000020346	ENSORLG00000007962	ENSPFOG00000011219	ENSTRUG00000005884	
ENSDARG00000058319	ENSDART00000081152	7	ENSAMXG00000000217	ENSDARG00000058319	ENSGMOG00000013513	ENSGACG00000003686	ENSONIG00000006884	ENSORLG00000002558	ENSPFOG00000010395	ENSTRUG00000012223	
ENSDARG00000058533	ENSDART00000081411	16	ENSAMXG00000001201	ENSDARG00000058533	ENSGMOG00000012053	ENSGACG00000009265	ENSONIG00000013522	ENSORLG00000007834	ENSPFOG00000014344	ENSTRUG00000015726	
ENSDARG00000058801	ENSDART00000092264	10	ENSAMXG00000014096	ENSDARG00000058801	ENSGMOG00000001461	ENSGACG00000006475	ENSONIG00000011378	ENSORLG00000015155	ENSPFOG00000002631	ENSTRUG00000002617	
ENSDARG00000058993	ENSDART00000081976	5	ENSAMXG00000014672	ENSDARG00000058993	ENSGMOG00000011444	ENSGACG00000017327	ENSONIG00000009417	ENSORLG00000017642	ENSPFOG00000011127	ENSTRUG00000013281	
ENSDARG00000059116	ENSDART00000082127	8	ENSAMXG00000021607	ENSDARG00000059116	ENSGMOG00000018844	ENSGACG00000004370	ENSONIG00000010077	ENSORLG00000012398	ENSPFOG00000019455	ENSTRUG00000004006	
ENSDARG00000059553	ENSDART00000082879	10	ENSAMXG00000013677	ENSDARG00000059553	ENSGMOG00000002357	ENSGACG00000002735	ENSONIG00000016802	ENSORLG00000015338	ENSPFOG00000001194	ENSTRUG00000010202	
ENSDARG00000059558	ENSDART00000082896	16	ENSAMXG00000012346	ENSDARG00000059558	ENSGMOG00000011123	ENSGACG00000020778	ENSONIG00000009508	ENSORLG00000014771	ENSPFOG00000015997	ENSTRUG00000012236	
ENSDARG00000059596	ENSDART00000082983	5	ENSAMXG00000007478	ENSDARG00000059596	ENSGMOG00000013615	ENSGACG00000020843	ENSONIG00000013264	ENSORLG00000015350	ENSPFOG00000000967	ENSTRUG00000009899	
ENSDARG00000059600	ENSDART00000110182	5	ENSAMXG00000007454	ENSDARG00000059600	ENSGMOG00000013151	ENSGACG00000020855	ENSONIG00000013337	ENSORLG00000015131	ENSPFOG00000003835	ENSTRUG00000009248	
ENSDARG00000059711	ENSDART00000083294	9	ENSAMXG00000007881	ENSDARG00000059711	ENSGMOG00000000637	ENSGACG00000010296	ENSONIG00000015951	ENSORLG00000010159	ENSPFOG00000003825	ENSTRUG00000005694	
ENSDARG00000059760	ENSDART00000113358	6	ENSAMXG00000007911	ENSDARG00000059760	ENSGMOG00000000939	ENSGACG00000007170	ENSONIG00000006780	ENSORLG00000004505	ENSPFOG00000010064	ENSTRUG00000013148	
ENSDARG00000059846	ENSDART00000083644	22	ENSAMXG00000002382	ENSDARG00000059846	ENSGMOG00000011318	ENSGACG00000009739	ENSONIG00000013677	ENSORLG00000008624	ENSPFOG00000016724	ENSTRUG00000011643	
ENSDARG00000059855	ENSDART00000083665	7	ENSAMXG00000013585	ENSDARG00000059855	ENSGMOG00000010257	ENSGACG00000008111	ENSONIG00000013253	ENSORLG00000005926	ENSPFOG00000018046	ENSTRUG00000007167	
ENSDARG00000059925	ENSDART00000083890	8	ENSAMXG00000013347	ENSDARG00000059925	ENSGMOG00000016350	ENSGACG00000001152	ENSONIG00000002812	ENSORLG00000001683	ENSPFOG00000015612	ENSTRUG00000016307	
ENSDARG00000059963	ENSDART00000083937	5	ENSAMXG00000013760	ENSDARG00000059963	ENSGMOG00000010897	ENSGACG00000010020	ENSONIG00000016130	ENSORLG00000009364	ENSPFOG00000018013	ENSTRUG00000007363	
ENSDARG00000060023	ENSDART00000084090	7	ENSAMXG00000019676	ENSDARG00000060023	ENSGMOG00000011469	ENSGACG00000003962	ENSONIG00000005990	ENSORLG00000010666	ENSPFOG00000016023	ENSTRUG00000009570	
ENSDARG00000060089	ENSDART00000084327	15	ENSAMXG00000014437	ENSDARG00000060089	ENSGMOG00000008302	ENSGACG00000002936	ENSONIG00000014834	ENSORLG00000000700	ENSPFOG00000011461	ENSTRUG00000005368	
ENSDARG00000060093	ENSDART00000124059	6	ENSAMXG00000012193	ENSDARG00000060093	ENSGMOG00000014466	ENSGACG00000014591	ENSONIG00000014229	ENSORLG00000020799	ENSPFOG00000006057	ENSTRUG00000015844	
ENSDARG00000060361	ENSDART00000084965	6	ENSAMXG00000019761	ENSDARG00000060361	ENSGMOG00000015625	ENSGACG00000005533	ENSONIG00000006619		ENSPFOG00000002290	ENSTRUG00000017688	
ENSDARG00000060554	ENSDART00000085442	5	ENSAMXG00000017324	ENSDARG00000060554	ENSGMOG00000010495	ENSGACG00000012341	ENSONIG00000001021	ENSORLG00000010129	ENSPFOG00000001180	ENSTRUG00000004300	
ENSDARG00000060758	ENSDART00000085971	8	ENSAMXG00000010939	ENSDARG00000060758	ENSGMOG00000000141	ENSGACG00000007711	ENSONIG00000002788	ENSORLG00000006671	ENSPFOG00000005155	ENSTRUG00000000175	
ENSDARG00000060921	ENSDART00000044559	7	ENSAMXG00000004603	ENSDARG00000060921	ENSGMOG00000009802	ENSGACG00000019856	ENSONIG00000013107	ENSORLG00000010438	ENSPFOG00000004904	ENSTRUG00000004138	
ENSDARG00000061013	ENSDART00000086537	11	ENSAMXG00000015723	ENSDARG00000061013	ENSGMOG00000012308	ENSGACG00000020224	ENSONIG00000017506	ENSORLG00000011597	ENSPFOG00000011523	ENSTRUG00000006129	
ENSDARG00000061020	ENSDART00000153364	5	ENSAMXG00000014878	ENSDARG00000061020	ENSGMOG00000008235	ENSGACG00000006580	ENSONIG00000016376	ENSORLG00000004816	ENSPFOG00000002345	ENSTRUG00000012299	
ENSDARG00000061354	ENSDART00000087418	7	ENSAMXG00000020917	ENSDARG00000061354	ENSGMOG00000004592	ENSGACG00000006763	ENSONIG00000008228	ENSORLG00000015336	ENSPFOG00000006801	ENSTRUG00000007543	
ENSDARG00000061397	ENSDART00000087566	18	ENSAMXG00000021606	ENSDARG00000061397	ENSGMOG00000007345	ENSGACG00000007464	ENSONIG00000005637	ENSORLG00000011737	ENSPFOG00000013439	ENSTRUG00000006584	
ENSDARG00000061472	ENSDART00000087691	6	ENSAMXG00000004958	ENSDARG00000061472	ENSGMOG00000017609	ENSGACG00000019099	ENSONIG00000012924	ENSORLG00000007772	ENSPFOG00000005923	ENSTRUG00000018098	
ENSDARG00000061590	ENSDART00000087964	7	ENSAMXG00000010564	ENSDARG00000061590	ENSGMOG00000013506	ENSGACG00000007086	ENSONIG00000008810	ENSORLG00000010145	ENSPFOG00000008959	ENSTRUG00000018536	
ENSDARG00000061710	ENSDART00000088319	5	ENSAMXG00000012622	ENSDARG00000061710	ENSGMOG00000002475	ENSGACG00000001656	ENSONIG00000003745	ENSORLG00000004482		ENSTRUG00000003034	
ENSDARG00000061752	ENSDART00000088427	6	ENSAMXG00000011121	ENSDARG00000061752	ENSGMOG00000008494	ENSGACG00000004704	ENSONIG00000002595	ENSORLG00000012880	ENSPFOG00000013834	ENSTRUG00000014430	
ENSDARG00000061789	ENSDART00000088513	5	ENSAMXG00000016080	ENSDARG00000061789	ENSGMOG00000015224	ENSGACG00000009765	ENSONIG00000013044	ENSORLG00000012862	ENSPFOG00000015398	ENSTRUG00000011226	
ENSDARG00000061899	ENSDART00000088817	6	ENSAMXG00000000913	ENSDARG00000061899	ENSGMOG00000019307	ENSGACG00000008678	ENSONIG00000005484	ENSORLG00000000533	ENSPFOG00000016783	ENSTRUG00000016344	
ENSDARG00000061941	ENSDART00000138186	7	ENSAMXG00000004376	ENSDARG00000061941	ENSGMOG00000001672	ENSGACG00000009136	ENSONIG00000013473	ENSORLG00000007391	ENSPFOG00000012534	ENSTRUG00000015050	
ENSDARG00000062059	ENSDART00000089278	6	ENSAMXG00000016782	ENSDARG00000062059	ENSGMOG00000016592	ENSGACG00000011138	ENSONIG00000014501		ENSPFOG00000014178	ENSTRUG00000009653	
ENSDARG00000062187	ENSDART00000089622	5	ENSAMXG00000017563	ENSDARG00000062187	ENSGMOG00000001084	ENSGACG00000008878	ENSONIG00000012536	ENSORLG00000006918	ENSPFOG00000024446	ENSTRUG00000010024	
ENSDARG00000062198	ENSDART00000089654	11	ENSAMXG00000008702	ENSDARG00000062198	ENSGMOG00000000896	ENSGACG00000016941	ENSONIG00000010148	ENSORLG00000008079	ENSPFOG00000007075	ENSTRUG00000015999	
ENSDARG00000062266	ENSDART00000089787	6	ENSAMXG00000020531	ENSDARG00000062266	ENSGMOG00000001017	ENSGACG00000003130	ENSONIG00000011113	ENSORLG00000012780	ENSPFOG00000007611	ENSTRUG00000005353	
ENSDARG00000062267	ENSDART00000089845	7	ENSAMXG00000016029	ENSDARG00000062267	ENSGMOG00000000925	ENSGACG00000018131	ENSONIG00000012966	ENSORLG00000005430	ENSPFOG00000008703	ENSTRUG00000000867	
ENSDARG00000062269	ENSDART00000089853	5	ENSAMXG00000020438	ENSDARG00000062269	ENSGMOG00000004319	ENSGACG00000006141			ENSPFOG00000004750	ENSTRUG00000008940	
ENSDARG00000062361	ENSDART00000090096	5	ENSAMXG00000016055	ENSDARG00000062361	ENSGMOG00000001848	ENSGACG00000020601	ENSONIG00000004787	ENSORLG00000004845	ENSPFOG00000017939	ENSTRUG00000001459	
ENSDARG00000062465	ENSDART00000090346	5	ENSAMXG00000024394	ENSDARG00000062465	ENSGMOG00000011266	ENSGACG00000001664	ENSONIG00000016782	ENSORLG00000018243	ENSPFOG00000011502	ENSTRUG00000008912	
ENSDARG00000062561	ENSDART00000123845	5	ENSAMXG00000018674	ENSDARG00000062561	ENSGMOG00000009155	ENSGACG00000020138	ENSONIG00000011041	ENSORLG00000010777	ENSPFOG00000006651	ENSTRUG00000000665	
ENSDARG00000062632	ENSDART00000090727	14	ENSAMXG00000000686	ENSDARG00000062632	ENSGMOG00000004566	ENSGACG00000006163	ENSONIG00000008359	ENSORLG00000005268	ENSPFOG00000005147	ENSTRUG00000009066	
ENSDARG00000062868	ENSDART00000091349	9	ENSAMXG00000020316	ENSDARG00000062868	ENSGMOG00000003679	ENSGACG00000011713	ENSONIG00000014683	ENSORLG00000011313	ENSPFOG00000016046	ENSTRUG00000006881	
ENSDARG00000063155	ENSDART00000092015	5	ENSAMXG00000008061	ENSDARG00000063155	ENSGMOG00000008825	ENSGACG00000008854	ENSONIG00000020386	ENSORLG00000008742	ENSPFOG00000010041	ENSTRUG00000015198	
ENSDARG00000063213	ENSDART00000092172	6	ENSAMXG00000013112	ENSDARG00000063213	ENSGMOG00000000221	ENSGACG00000019926	ENSONIG00000007239	ENSORLG00000019264	ENSPFOG00000018485	ENSTRUG00000012596	
ENSDARG00000063624	ENSDART00000093152	6	ENSAMXG00000013435	ENSDARG00000063624	ENSGMOG00000010161	ENSGACG00000009864	ENSONIG00000003772	ENSORLG00000006487	ENSPFOG00000011022	ENSTRUG00000009244	
ENSDARG00000063626	ENSDART00000093149	5	ENSAMXG00000009140	ENSDARG00000063626	ENSGMOG00000012354	ENSGACG00000016060	ENSONIG00000005499	ENSORLG00000010122	ENSPFOG00000016196	ENSTRUG00000017570	
ENSDARG00000067607	ENSDART00000092665	9	ENSAMXG00000009016	ENSDARG00000067607	ENSGMOG00000011626	ENSGACG00000012064	ENSONIG00000002304	ENSORLG00000009437	ENSPFOG00000010306	ENSTRUG00000008197	
ENSDARG00000067859	ENSDART00000097773	25	ENSAMXG00000012126	ENSDARG00000067859	ENSGMOG00000014477	ENSGACG00000001055		ENSORLG00000004121	ENSPFOG00000012114	ENSTRUG00000003353	
ENSDARG00000068460	ENSDART00000083804	6	ENSAMXG00000021582	ENSDARG00000068460	ENSGMOG00000011350	ENSGACG00000017343	ENSONIG00000007889		ENSPFOG00000009345	ENSTRUG00000014925	
ENSDARG00000069274	ENSDART00000060291	8	ENSAMXG00000000503	ENSDARG00000069274	ENSGMOG00000017553	ENSGACG00000005293	ENSONIG00000015506	ENSORLG00000006561	ENSPFOG00000010607	ENSTRUG00000003491	
ENSDARG00000069435	ENSDART00000101066	5	ENSAMXG00000012624	ENSDARG00000069435	ENSGMOG00000016254	ENSGACG00000020139	ENSONIG00000015792	ENSORLG00000018596	ENSPFOG00000018403	ENSTRUG00000005415	
ENSDARG00000069934	ENSDART00000145111	6	ENSAMXG00000016657	ENSDARG00000069934	ENSGMOG00000001674	ENSGACG00000008521	ENSONIG00000010261	ENSORLG00000018162	ENSPFOG00000002081	ENSTRUG00000000113	
ENSDARG00000070109	ENSDART00000133659	6	ENSAMXG00000008288	ENSDARG00000070109	ENSGMOG00000016202	ENSGACG00000016204	ENSONIG00000009042	ENSORLG00000005794	ENSPFOG00000008411	ENSTRUG00000013625	
ENSDARG00000070494	ENSDART00000103510	6	ENSAMXG00000002629	ENSDARG00000070494	ENSGMOG00000010289	ENSGACG00000014259	ENSONIG00000003001	ENSORLG00000019815	ENSPFOG00000017594	ENSTRUG00000015076	
ENSDARG00000070794	ENSDART00000076611	6	ENSAMXG00000019171	ENSDARG00000070794	ENSGMOG00000015297	ENSGACG00000016281	ENSONIG00000017167	ENSORLG00000011615	ENSPFOG00000015209	ENSTRUG00000000142	
ENSDARG00000070981	ENSDART00000052915	10	ENSAMXG00000009994	ENSDARG00000070981	ENSGMOG00000005754	ENSGACG00000003327	ENSONIG00000019716	ENSORLG00000000611	ENSPFOG00000008852	ENSTRUG00000011623	
ENSDARG00000071197	ENSDART00000105098	6	ENSAMXG00000010176	ENSDARG00000071197	ENSGMOG00000011053	ENSGACG00000010156	ENSONIG00000001318	ENSORLG00000013504	ENSPFOG00000015786	ENSTRUG00000014832	
ENSDARG00000071294	ENSDART00000105326	9	ENSAMXG00000008066	ENSDARG00000071294	ENSGMOG00000010613	ENSGACG00000009209	ENSONIG00000003595	ENSORLG00000014714	ENSPFOG00000013779	ENSTRUG00000007494	
ENSDARG00000071551	ENSDART00000105856	5	ENSAMXG00000007545	ENSDARG00000071551	ENSGMOG00000013524	ENSGACG00000004868	ENSONIG00000019715	ENSORLG00000002436	ENSPFOG00000017173	ENSTRUG00000017070	
ENSDARG00000071692	ENSDART00000106186	5	ENSAMXG00000001708	ENSDARG00000071692	ENSGMOG00000016980	ENSGACG00000002845	ENSONIG00000014224	ENSORLG00000008271	ENSPFOG00000010245	ENSTRUG00000010275	
ENSDARG00000073686	ENSDART00000113316	5	ENSAMXG00000024375	ENSDARG00000073686	ENSGMOG00000014810	ENSGACG00000020623	ENSONIG00000004863	ENSORLG00000005290	ENSPFOG00000018343	ENSTRUG00000017066	
ENSDARG00000073926	ENSDART00000115129	6	ENSAMXG00000004038	ENSDARG00000073926	ENSGMOG00000016084	ENSGACG00000011112	ENSONIG00000013163	ENSORLG00000004525	ENSPFOG00000009062	ENSTRUG00000004428	
ENSDARG00000074041	ENSDART00000155563	11	ENSAMXG00000011731	ENSDARG00000074041	ENSGMOG00000012077	ENSGACG00000014344	ENSONIG00000019045	ENSORLG00000013297	ENSPFOG00000001770	ENSTRUG00000006098	
